Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
110,0,Terminal Stance,100.0%,5.14 (Accurate ),4.01 (Inaccurate ),27.31 (Inaccurate ),3.56 (Inaccurate ),25.0 % ,Should Improve
111,0,Terminal Stance,100.0%,5.49 (Accurate ),3.82 (Inaccurate ),26.45 (Inaccurate ),3.67 (Inaccurate ),25.0 % ,Should Improve
112,0,Terminal Stance,100.0%,5.53 (Accurate ),3.77 (Inaccurate ),25.62 (Inaccurate ),3.71 (Inaccurate ),25.0 % ,Should Improve
113,0,Terminal Stance,100.0%,5.96 (Accurate ),3.37 (Inaccurate ),25.48 (Inaccurate ),3.69 (Inaccurate ),25.0 % ,Should Improve
114,0,Terminal Stance,100.0%,6.14 (Accurate ),3.63 (Inaccurate ),24.48 (Inaccurate ),3.68 (Inaccurate ),25.0 % ,Should Improve
115,0,Terminal Stance,100.0%,6.92 (Accurate ),3.98 (Inaccurate ),23.49 (Inaccurate ),3.16 (Inaccurate ),25.0 % ,Should Improve
116,0,Terminal Stance,100.0%,7.04 (Accurate ),3.89 (Inaccurate ),22.74 (Inaccurate ),3.64 (Inaccurate ),25.0 % ,Should Improve
117,0,Terminal Stance,100.0%,7.49 (Accurate ),4.77 (Inaccurate ),21.41 (Inaccurate ),3.06 (Inaccurate ),25.0 % ,Should Improve
118,0,Terminal Stance,100.0%,7.21 (Accurate ),4.87 (Inaccurate ),21.0 (Inaccurate ),3.44 (Inaccurate ),25.0 % ,Should Improve
119,0,Terminal Stance,100.0%,7.37 (Accurate ),4.68 (Inaccurate ),20.35 (Inaccurate ),3.74 (Inaccurate ),25.0 % ,Should Improve
120,0,Terminal Stance,100.0%,7.81 (Accurate ),4.62 (Inaccurate ),18.96 (Inaccurate ),3.59 (Inaccurate ),25.0 % ,Should Improve
121,0,Terminal Stance,100.0%,7.93 (Accurate ),3.9 (Inaccurate ),17.04 (Inaccurate ),4.26 (Inaccurate ),25.0 % ,Should Improve
122,0,Terminal Stance,100.0%,7.7 (Accurate ),3.01 (Inaccurate ),15.11 (Inaccurate ),5.5 (Inaccurate ),25.0 % ,Should Improve
123,0,Terminal Stance,100.0%,8.15 (Accurate ),2.7 (Inaccurate ),14.88 (Inaccurate ),5.49 (Inaccurate ),25.0 % ,Should Improve
124,0,Terminal Stance,100.0%,8.18 (Accurate ),2.92 (Inaccurate ),15.12 (Inaccurate ),5.38 (Inaccurate ),25.0 % ,Should Improve
125,0,Terminal Stance,100.0%,7.94 (Accurate ),2.98 (Inaccurate ),13.7 (Inaccurate ),5.88 (Inaccurate ),25.0 % ,Should Improve
126,0,Terminal Stance,100.0%,8.0 (Accurate ),3.57 (Inaccurate ),12.34 (Inaccurate ),5.79 (Inaccurate ),25.0 % ,Should Improve
127,0,Terminal Stance,100.0%,7.96 (Accurate ),3.08 (Inaccurate ),11.01 (Inaccurate ),6.57 (Inaccurate ),25.0 % ,Should Improve
128,0,Terminal Stance,100.0%,7.82 (Accurate ),3.64 (Inaccurate ),10.1 (Inaccurate ),6.95 (Inaccurate ),25.0 % ,Should Improve
129,0,Terminal Stance,100.0%,7.84 (Accurate ),3.61 (Inaccurate ),9.8 (Inaccurate ),7.39 (Inaccurate ),25.0 % ,Should Improve
130,0,Terminal Stance,100.0%,7.62 (Accurate ),3.98 (Inaccurate ),9.15 (Inaccurate ),7.37 (Inaccurate ),25.0 % ,Should Improve
131,0,Terminal Stance,100.0%,7.57 (Accurate ),3.65 (Inaccurate ),8.74 (Inaccurate ),7.78 (Inaccurate ),25.0 % ,Should Improve
132,0,Terminal Stance,100.0%,7.47 (Accurate ),3.91 (Inaccurate ),7.53 (Inaccurate ),8.22 (Inaccurate ),25.0 % ,Should Improve
133,0,Terminal Stance,100.0%,7.58 (Accurate ),4.6 (Inaccurate ),6.14 (Inaccurate ),8.21 (Inaccurate ),25.0 % ,Should Improve
134,0,Terminal Stance,100.0%,7.68 (Accurate ),5.24 (Inaccurate ),4.95 (Inaccurate ),8.1 (Inaccurate ),25.0 % ,Should Improve
135,0,Terminal Stance,100.0%,7.75 (Accurate ),5.79 (Inaccurate ),4.43 (Inaccurate ),8.16 (Inaccurate ),25.0 % ,Should Improve
136,0,Terminal Stance,100.0%,7.32 (Accurate ),6.09 (Inaccurate ),3.72 (Inaccurate ),8.51 (Inaccurate ),25.0 % ,Should Improve
137,0,Terminal Stance,100.0%,7.35 (Accurate ),6.54 (Inaccurate ),3.92 (Inaccurate ),8.58 (Inaccurate ),25.0 % ,Should Improve
138,0,Terminal Stance,100.0%,7.27 (Accurate ),6.51 (Inaccurate ),3.35 (Inaccurate ),9.02 (Inaccurate ),25.0 % ,Should Improve
139,0,Terminal Stance,100.0%,7.65 (Accurate ),6.3 (Inaccurate ),4.28 (Inaccurate ),9.3 (Inaccurate ),25.0 % ,Should Improve
140,0,Terminal Stance,100.0%,7.93 (Accurate ),6.64 (Inaccurate ),4.8 (Inaccurate ),9.1 (Inaccurate ),25.0 % ,Should Improve
141,0,Terminal Stance,100.0%,7.76 (Accurate ),7.3 (Inaccurate ),4.64 (Inaccurate ),9.31 (Inaccurate ),25.0 % ,Should Improve
142,0,Terminal Stance,100.0%,7.59 (Accurate ),9.35 (Inaccurate ),3.63 (Inaccurate ),8.67 (Inaccurate ),25.0 % ,Should Improve
143,0,Terminal Stance,100.0%,7.54 (Accurate ),11.24 (Inaccurate ),4.04 (Inaccurate ),8.1 (Inaccurate ),25.0 % ,Should Improve
144,0,Terminal Stance,100.0%,7.73 (Accurate ),10.8 (Inaccurate ),4.32 (Inaccurate ),8.65 (Inaccurate ),25.0 % ,Should Improve
145,0,Terminal Stance,100.0%,7.86 (Accurate ),9.76 (Inaccurate ),5.62 (Inaccurate ),9.86 (Inaccurate ),25.0 % ,Should Improve
146,0,Terminal Stance,100.0%,7.94 (Accurate ),10.61 (Inaccurate ),5.91 (Inaccurate ),9.99 (Inaccurate ),25.0 % ,Should Improve
